SG-6000# show process
Tasks: 65 total,  10 running,  55 sleeping, 0 stopped

  Pid   Process            State   Priority   Cpu(%)  Memory(%)  Runtime
 3195   tar             R       18       5.0     0.3        8:42.05
 3214   tar                 S       20       5.0     5.1        2:04.89
 4295   d-plane              R        0       0.1     0.4      211:52.28
 4298   d-plane              R        0       0.1     0.4      216:39.02
 3175   monitord             S        0       0.0     0.3        0:41.63
 3196   mgd                  S       20       0.0     0.6        0:07.62
 3202   admind               S       20       0.0     0.4        0:23.93
 3203   updated              S       20       0.0     0.3        0:03.68
 3204   cloud                S       20       0.0     0.4        0:01.51
 3205   dnsd                 S       20       0.0     0.3        0:23.12
 3206   logd                 S       20       10.0     0.4        0:06.80
 3207   telnetd              S       20       0.0     0.2        0:00.68
 3208   ftpd                 S       20       0.0     0.2        0:00.40
 3209   pkid                 S       20       0.0     0.3        0:01.49
 3210   sshd                 S       20       0.0     0.3        0:01.15
 3211   pam                  S       20       0.0     0.3        0:02.61
 3212   lacpd                S       20       0.0     0.2        0:00.33
 3213   smspd                S       20       0.0     0.2        0:01.13
 3215   rstpd                S       20       0.0     0.2        0:00.97
 3216   nbcd                 S       20       0.0     0.2        0:04.63
 3217   nbcxd                S       20       0.0     0.3        0:00.63
 3218   routed               S       20       0.0     0.3        0:00.94
 3219   mrouted              S       20       0.0     0.2        0:00.94
 3220   dhcpd                S       20       0.0     0.2        0:01.43
 3221   ntpdate              S       20       0.0     0.2        0:00.67
 3222   vpnd                 S       20       15.0     0.3        0:01.08
 3223   ikev2d               S       20       0.0     0.3        0:01.81
 3224   smsd                 S       20       0.0     0.2        0:00.39
 3227   xconfigd             S       20       0.0     0.2        0:00.59
 3228   routed              S       20       12.0     0.2        0:00.71
 3229   twinmoded            S       20       0.0     0.3        0:01.60
 3231   sslvpnd              S       20       0.0     0.3        0:01.07
 3232   l2tpd                S       20       0.0     0.2        0:01.19
 3235   agent                S       20       5.0     0.4        0:00.84
 3237   nmagent              S       20       0.0     0.8        1:23.76
 3238   pppoed               S       20       0.0     0.2        0:01.03
 3240   ddnsd                S       20       0.0     0.2        0:00.44
 3241   scheduled            S       20       0.0     0.2        0:01.15
 3243   httpauth             S       20       0.0     0.2        0:01.18
 3245   dot1x                S       20       0.0     0.2        0:00.38
 3246   filesyn              S       18       0.0     0.2        0:11.19
 3247   netbiosd             S       20       0.0     0.2        0:00.94
 3251   cli                  S       20       0.0     0.6        0:02.06
 3479   httpauth             S       20       5.0     0.1        0:00.00
 3480   webauth             S       20       2.0     0.2        0:00.00
 4287   d-plane              R        0       0.0     0.4      216:42.48
 4288   d-plane              R        0       0.0     0.4      216:41.34
 4289   d-plane              R        0       0.0     0.4      216:42.67
 4290   d-plane              S       20       0.0     0.2        0:00.49
 4291   d-plane              R        0       0.0     0.4      211:52.47
 4292   d-plane              R        0       0.0     0.4      211:52.26
 4294   d-plane              S       20       0.0     0.2        1:28.93
 4296   d-plane              S       20       0.0     0.2        0:00.44
 4297   d-plane              R        0       0.0     0.4      216:48.71
 4299   d-plane              R        0       0.0     0.4      211:52.48
 4300   d-plane              S       20       0.0     0.8        1:46.66
13684   d-plane              S       20       0.0     0.5        0:00.30
13830   monitord             S       20       0.0     0.2        0:04.82
13854   appweb               S       20       0.0     0.9        0:30.71
13857   d-plane              S       20       0.0     0.2        0:01.66
14138   login                S       20       0.0     0.2        0:00.47
14140   cli                  S       20       0.0     0.5        0:08.50
14959   sshd                 S       20       0.0     0.3        0:00.23
14960   login                S       20       0.0     0.2        0:00.05
14962   cli                  S       20       0.0     0.5        0:00.11
