SG-6000# show statistics interface-counter interface aggregate2 second
ethernet0/0 stats in last 60 seconds
               In Pkts          In Bytes          Out Pkts         Out Bytes
59 :                40                60                12                60
58 :                37                 0                13                 0
57 :                31                 0                16                 0
56 :                28                 0                11                 0
55 :                35                 0                15                 0
54 :                39                 0                17                 0
53 :                26                 0                10                 0
52 :                34                 0                14                 0
51 :                23                 0                13                 0
50 :                36                 0                15                 0
49 :                30                 0                11                 0
48 :                31                 0                14                 0
47 :                25                 0                10                 0
46 :                32                 0                14                 0
45 :                26                 0                14                 0
44 :                29                 0                 9                 0
43 :                31                 0                13                 0
42 :                31                 0                12                 0
41 :                25                 0                13                 0
40 :                29                 0                12                 0
39 :                29                 0                13                 0
38 :                28                 0                10                 0
37 :                29                 0                13                 0
36 :                24                 0                14                 0
35 :                28                 0                12                 0
34 :                28                 0                13                 0
33 :                35                 0                17                 0
32 :                36                 0                16                 0
31 :                43                 0                19                 0
30 :                30                 0                14                 0
29 :                35                 0                12                 0
28 :                33                 0                12                 0
27 :                30                 0                13                 0
26 :                26                 0                12                 0
25 :                26                 0                12                 0
24 :                29                 0                13                 0
23 :                27                 0                11                 0
22 :                36                 0                14                 0
21 :                29                 0                14                 0
20 :                33                 0                13                 0
19 :                26                 0                13                 0
18 :                30                 0                13                 0
17 :                25                 0                14                 0
16 :                26                 0                12                 0
15 :                32                 0                14                 0
14 :                33                 0                14                 0
13 :                38                 0                16                 0
12 :                39                 0                17                 0
11 :                31                 0                13                 0
10 :                51                 0                47                 0
9  :                42                 0                20                 0
8  :                44                 0                15                 0
7  :                44                 0                18                 0
6  :                31                 0                17                 0
5  :                26                 0                 9                 0
4  :                51                 0                30                 0
3  :                49                 0                13                 0
2  :                42                 0                19                 0
1  :                23                 0                 9                 0
0  :                34                 0                15                 0
